date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
11/28/2016,-1.3,-3.5,0.3,0,0,3,11.2,29.5,1029.4,282
11/29/2016,-4,-7.8,0.9,0,0,241,9,19.8,1035.1,420
11/30/2016,-1.3,-7.2,2.6,0.2,0,248,21.2,45,1030.1,162
12/1/2016,3.2,0.9,4.7,1.3,0,258,27.4,52.2,1021.9,0
12/2/2016,2.7,-4,5.4,1.3,0,295,18,49,1020.1,306
12/3/2016,-2.6,-6.3,1.7,0,0,227,7.9,13,1026.9,408
12/4/2016,-6,-8.3,-4.4,0,0,104,6.1,14.4,1030.5,78
12/5/2016,-5.5,-10.5,-0.2,0,0,240,9.4,26.3,1028.7,396
12/6/2016,-5.2,-6.9,-3.8,0,0,243,15.5,29.2,1032.8,0
12/7/2016,-3,-8.2,1.2,0,0,235,15.5,29.5,1033.7,66
12/8/2016,2.7,0,7.9,0,0,245,17.3,41.8,1029.8,288
12/9/2016,5.5,2.4,7.3,0,0,239,20.9,35.6,1027.7,18
12/10/2016,6.7,2.9,10.6,0,0,230,19.1,38.9,1022.9,120
12/11/2016,6.2,4.5,8.1,1.2,0,248,29.2,74.9,1016.5,24
12/12/2016,4.8,3.3,6.4,1,0,257,17.6,38.9,1023.6,0
12/13/2016,4.1,2.8,6.3,0.7,0,207,12.6,24.1,1025.2,42
12/14/2016,4.2,3.7,4.9,0,0,258,9.7,22.3,1025.2,0
12/15/2016,2.8,0.2,4.2,0,0,75,7.6,18.7,1029.2,60
12/16/2016,-0.8,-5.2,2.6,0,0,178,7.2,16.2,1031.9,378
12/17/2016,-1.6,-5.7,1.1,0.1,0,239,16.6,32.8,1037.3,198
12/18/2016,1.7,0.6,3.1,1.5,0,256,14.8,33.5,1034.1,12
12/19/2016,1.9,-0.3,3.8,0,0,119,8.6,25.9,1030.5,48
12/20/2016,-1.3,-3.2,0.9,0,0,109,7.2,19.4,1026.6,72
12/21/2016,-2.1,-4.9,1.7,0,0,229,8.6,22.7,1028.7,384
12/22/2016,-0.2,-3.8,3.8,0.3,0,242,12.2,28.4,1030.2,258
12/23/2016,0.7,-1.3,3.8,0,0,231,15.1,50.8,1033.2,384
12/24/2016,4.2,1.5,6.4,0.8,0,232,29.5,56.2,1024.2,30
12/25/2016,6.9,5.3,8.1,0,0,243,32.4,54.4,1022.4,0
12/26/2016,6.3,1.7,9.7,0.8,0,246,29.9,79.2,1025,36
12/27/2016,4.5,2.2,6.1,0,0,275,29.9,58.3,1034.8,48
12/28/2016,4.1,2.1,5.6,0,0,290,18.7,38.9,1041.7,48
12/29/2016,1.4,-3.5,3.5,0,0,213,7.9,19.1,1041.4,0
12/30/2016,-1.8,-6.3,3.9,0,0,225,12.6,22,1038,390
12/31/2016,-2.7,-7.3,3.5,0,0,241,16.2,27.7,1031.9,390
1/1/2017,-4.8,-9.3,-0.1,0.3,0,250,15.8,37.8,1020.8,390
1/2/2017,-1.6,-3.9,0.3,0.4,10,257,20.9,37.8,1019.4,42
1/3/2017,0.6,-2.3,1.8,0,20,245,32.4,67.7,1019.6,0
1/4/2017,0.9,-2.9,2.6,5.8,0,268,36,70.9,1008.6,114
1/5/2017,-4.8,-9.8,-2,0.6,20,349,19.4,45.4,1027.7,36
1/6/2017,-10.4,-13.6,-5.2,0,40,275,8.6,20.9,1041.4,402
1/7/2017,-7.1,-13.1,-4.2,0.2,40,222,19.4,40.3,1032.4,0
1/8/2017,-1.9,-4.5,-0.4,0.2,40,266,15.8,37.8,1028.9,0
1/9/2017,-0.8,-1.4,-0.2,0,30,228,12.6,29.5,1025.3,0
1/10/2017,-1.7,-4.6,0.2,0,30,182,18.7,36.7,1012.8,342
1/11/2017,0.2,-2.5,2.8,1.3,20,212,27.4,64.4,1007.5,
1/12/2017,2.3,1,4.2,0.4,10,231,27,51.8,1005.4,
1/13/2017,0.8,-1.6,4.7,0.1,0,236,36.7,90.7,993.4,
1/14/2017,0,-1.6,1.4,0.3,10,259,28.8,56.2,1005.8,
1/15/2017,-1.4,-2.5,-0.2,0.3,10,267,18.4,34.6,1017.1,
1/16/2017,-3.9,-6.3,-2,0,20,329,11.5,24.8,1026.1,156
1/17/2017,-3.8,-5.1,-1.8,0,20,34,9,22,1035.9,228
1/18/2017,-5.5,-7.3,-4.1,0,20,73,8.6,23.8,1040.3,36
1/19/2017,-7.7,-9.8,-4.7,0,20,245,5,14.8,1039.3,288
1/20/2017,-5.2,-10.4,-0.8,0,20,153,6.5,15.8,1036.2,12
1/21/2017,-3.7,-6.4,-0.4,0,20,34,7.9,16.6,1032.3,450
1/22/2017,-6.9,-12,-4.6,0,20,263,5.4,15.1,1028.1,0
1/23/2017,-9,-12.4,-6.7,0,20,250,11.2,18.7,1026.5,210
1/24/2017,-4.6,-7.2,-3.5,0,20,217,5,18,1029.1,0
1/25/2017,-2.7,-3.8,-1.8,0,20,64,6.1,17.6,1031.7,0
1/26/2017,-2.8,-4.9,-0.3,0,20,85,9.7,21.2,1028.4,426
1/27/2017,-3.7,-8.5,0.3,0,20,191,7.6,15.8,1023.3,468
1/28/2017,-3.4,-9.1,2.6,0,20,223,14.4,23.8,1020.1,474
1/29/2017,1.5,-3.2,6.1,0,10,206,15.1,30.2,1021.4,276
1/30/2017,2.7,-0.1,4.9,2.8,0,193,22.7,52.9,1013.5,0
1/31/2017,0.7,-0.7,3.5,0.7,0,295,10.1,22.7,1015.4,0
2/1/2017,-0.4,-2.5,0.8,0.2,0,138,8.3,22,1019.3,0
2/2/2017,2.9,-1.8,7.9,0,0,170,9.7,21.6,1012,162
2/3/2017,5.1,2.3,7.5,0.9,0,189,16.2,27,1006.5,0
2/4/2017,4.9,1.8,9,0.7,0,167,15.8,37.1,1002.9,384
2/5/2017,3.4,1.5,6.3,0,0,249,11.9,30.6,1004.1,120
2/6/2017,0.5,-1.9,1.5,0,0,26,9.4,24.5,1017,0
2/7/2017,-2.4,-3,-1.9,0,0,60,11.9,24.5,1021.5,0
2/8/2017,-3.8,-5.2,-2.4,0,0,59,12.2,26.3,1026.6,0
2/9/2017,-4.8,-5.7,-3.8,0,0,70,13,33.5,1029.6,0
2/10/2017,-4,-6,-2,0.3,0,57,13,36.4,1024.6,0
2/11/2017,-0.8,-2.2,2,0,0,48,8.6,24.1,1023.6,12
2/12/2017,-1.3,-2,-0.6,0,0,62,9,20.2,1030.1,0
2/13/2017,-2,-5.7,2.4,0,0,50,13,28.4,1033.9,456
2/14/2017,-1.3,-6.2,4.1,0,0,45,9.7,21.6,1033.5,510
2/15/2017,1.3,-5.8,8.3,0,0,224,9,22,1034.3,534
2/16/2017,4.5,-1.8,12.1,3,0,238,14,26.6,1029.6,432
2/17/2017,4,1.5,6.2,0.6,0,250,18,42.8,1023.8,102
2/18/2017,3.2,-0.7,5.2,0,0,276,9.7,23.8,1026.3,0
2/19/2017,2.2,-2.7,6.7,0.2,0,214,15.5,31.7,1022.1,192
2/20/2017,5.6,2,8.2,1.6,0,227,24.8,50,1015.9,0
2/21/2017,7.6,3.9,9.2,0.2,0,257,22,54.7,1012,48
2/22/2017,8.6,5.8,11,3.8,0,239,37.1,81.4,1004.9,18
2/23/2017,8,6.2,10.5,0.1,0,233,38.2,89.6,997,24
2/24/2017,2.4,-1.8,6.7,0.7,0,265,34.2,101.5,1007.7,210
2/25/2017,2.8,-3.1,7.1,0,0,216,18.7,46.1,1019.7,300
2/26/2017,7.8,4.8,12.4,0,0,224,24.8,54.4,1012.2,228
2/27/2017,9.7,6.6,12.8,1,0,205,25.6,79.6,1003,390
2/28/2017,5.3,1.9,8,0.2,0,208,31.7,68.4,993.8,246
3/1/2017,4.3,1.7,9.2,2.3,0,227,29.9,71.3,1000.5,192
3/2/2017,5.7,3.1,8.1,0.5,0,238,38.5,90,1006.1,222
3/3/2017,5.7,1.4,10,0,0,187,18.4,31.7,1010.3,174
3/4/2017,10.2,3.8,16.7,0,0,144,15.5,59.8,995.8,420
3/5/2017,7,4.7,10.3,3.6,0,206,22.3,52.9,1000.4,54
3/6/2017,4.2,1.8,6.5,5.3,0,234,14.8,38.2,1000.3,12
3/7/2017,3.5,1.9,6.6,4.9,0,295,14.8,32.4,1012.2,72
3/8/2017,4.5,1.6,6.7,5.3,0,212,24.5,54.7,1018,114
3/9/2017,7,3.4,10.7,0.4,0,249,19.4,61.2,1016.5,120
3/10/2017,4.8,-0.4,8.4,0,0,296,20.2,61.2,1024.9,228
3/11/2017,4.1,-0.6,9.4,0,0,131,9.4,25.9,1024.5,342
3/12/2017,3.6,-1.5,8.5,0,0,84,10.4,31.3,1020.4,462
3/13/2017,4.2,-2.6,9.4,0,0,207,10.4,25.6,1025.1,396
3/14/2017,7.9,3.7,12.6,0,0,265,14.8,31.7,1029.5,396
3/15/2017,8.4,4.7,12.7,0,0,276,14,33.1,1029.5,270
3/16/2017,8.2,2.7,14.5,0,0,252,12.2,27.7,1023.8,648
3/17/2017,7.4,4.8,10.9,4.7,0,245,19.1,54.7,1012.8,36
3/18/2017,6.9,4.3,10.5,5,0,259,31.3,78.5,1004,36
3/19/2017,9,5.1,12.7,0.7,0,235,22.7,68.4,1007.2,0
3/20/2017,10.1,8.6,12.4,0,0,232,32.4,55.4,1007.4,60
3/21/2017,7.7,4.5,10.3,1.6,0,236,21.6,46.4,1008.9,0
3/22/2017,5.6,2.6,9.1,1.4,0,67,11.9,31.7,1015.5,90
3/23/2017,5.9,4.5,7.8,0,0,41,9.7,27,1018,0
3/24/2017,6.4,3.8,10.2,0,0,57,12.6,35.6,1028.6,378
3/25/2017,6.2,-0.8,12,0,0,30,7.9,39.2,1028.3,648
3/26/2017,6.4,1.4,12,0,0,,10.1,30.2,1025.2,660
3/27/2017,8.3,-0.1,16,0,0,138,9.7,21.6,1024.8,690
3/28/2017,11.5,1.7,19.7,0,0,217,14.8,37.4,1021.3,696
3/29/2017,12.1,7.2,16.3,0,0,255,22,52.2,1023.3,276
3/30/2017,13.7,9.7,19,0,0,233,13,27.7,1024.7,342
3/31/2017,15.7,9.8,22.2,0,0,192,19.1,39.6,1016,660
4/1/2017,13,6.1,19.6,1.9,0,82,11.5,31.3,1010.9,480
4/2/2017,11.2,6.4,15.2,0,0,306,10.4,22.3,1018.2,240
4/3/2017,8.2,3.6,11.1,0,0,50,11.2,27.7,1025.2,342
4/4/2017,7.4,5.3,10.2,0.2,0,56,6.8,20.9,1024.3,18
4/5/2017,8.4,3.8,12.6,0.1,0,301,14,40.3,1022.1,168
4/6/2017,6.9,3.4,10.7,0,0,302,20.9,40,1023.5,486
4/7/2017,8.2,4.9,11.1,0,0,279,21.2,43.9,1022,12
4/8/2017,9.8,4.2,13.8,0,0,282,9.7,21.6,1023.6,24
4/9/2017,10.9,2.1,17.8,0,0,36,7.6,21.6,1023.2,726
4/10/2017,11.4,4.6,20.4,0,0,255,21.2,51.5,1017.5,426
4/11/2017,7.3,4.1,10.7,0,0,284,16.6,38.2,1023.2,132
4/12/2017,10,7,13.3,0.6,0,240,22.7,52.9,1014.3,102
4/13/2017,8.3,4.4,11.3,0,0,281,21.2,46.1,1012.4,90
4/14/2017,7.4,2.3,11.5,0,0,267,13,36.4,1015.3,198
4/15/2017,7.6,2.2,11.6,1.2,0,237,20.9,57.6,1012.8,0
4/16/2017,4.9,1.3,9.5,8.5,0,266,20.2,56.9,1016.7,378
4/17/2017,3.2,1.1,7,11.2,0,252,11.2,39.2,1016.1,120
4/18/2017,2,0.3,5.2,4.2,0,337,17.6,44.6,1022.7,114
4/19/2017,0.4,-1.9,4.3,0.8,0,15,13.7,41.8,1032.9,198
4/20/2017,2.1,-3,7.1,0,0,9,7.9,25.2,1034.7,576
4/21/2017,7.3,0.5,12,0.4,0,240,22,43.2,1027.1,216
