Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen,,,
07.11.2020;00:00;01:00;46.974,75;37.816,75;968,5
07.11.2020;01:00;02:00;45.355,5;35.946,25;1.238,5
07.11.2020;02:00;03:00;44.664,5;34.815;2.635,25,
07.11.2020;03:00;04:00;44.763;34.659;3.091,,,
07.11.2020;04:00;05:00;44.811,5;34.584,5;2.932,
07.11.2020;05:00;06:00;45.179,5;34.642,25;2.787,25
07.11.2020;06:00;07:00;46.284,75;35.876;1.717,,
07.11.2020;07:00;08:00;48.974,25;38.341,25;669,75
07.11.2020;08:00;09:00;52.715,5;39.826;576,75,
07.11.2020;09:00;10:00;55.079,75;38.633,5;904,75
07.11.2020;10:00;11:00;56.240;37.102,5;757,75,
07.11.2020;11:00;12:00;57.079,75;36.362;731,5,
07.11.2020;12:00;13:00;56.136,5;36.201;490,5,
07.11.2020;13:00;14:00;54.312,5;37.143,75;1.089,5
07.11.2020;14:00;15:00;52.735;40.522,75;1.247,75,
07.11.2020;15:00;16:00;51.765,75;45.325,5;581,
07.11.2020;16:00;17:00;53.393,5;50.235,25;446,5
07.11.2020;17:00;18:00;58.501;54.804,5;3.394,,
07.11.2020;18:00;19:00;59.692,75;54.961;3.177,25,
07.11.2020;19:00;20:00;57.387,5;52.166,25;2.435,
07.11.2020;20:00;21:00;53.218;48.340,75;2.226,75,
07.11.2020;21:00;22:00;50.269;46.088,25;444,25,
07.11.2020;22:00;23:00;48.642,5;45.063;542,75,
07.11.2020;23:00;00:00;45.602,75;42.173,75;656,
08.11.2020;00:00;01:00;42.464,25;39.041;750,75,
08.11.2020;01:00;02:00;40.760;37.286,5;1.893,5,
08.11.2020;02:00;03:00;40.007,75;36.352;2.326,,
08.11.2020;03:00;04:00;39.779,75;35.776,75;2.162,75
08.11.2020;04:00;05:00;40.154;35.675,25;1.970,,
08.11.2020;05:00;06:00;40.754,25;35.809,5;1.696,75
08.11.2020;06:00;07:00;41.072,5;35.883;1.774,25,
08.11.2020;07:00;08:00;42.695,75;36.865;1.219,25,
08.11.2020;08:00;09:00;45.844,25;36.554,25;716,25
08.11.2020;09:00;10:00;48.844,5;35.355;557,,
08.11.2020;10:00;11:00;50.675;34.423,75;634,25,
08.11.2020;11:00;12:00;52.724;35.426,75;169,75,
08.11.2020;12:00;13:00;52.293,25;35.637;860,75,
08.11.2020;13:00;14:00;50.378;36.067;2.225,25,,
08.11.2020;14:00;15:00;49.159;38.924,75;1.822,5,
08.11.2020;15:00;16:00;48.958,5;43.140,25;489,
08.11.2020;16:00;17:00;50.611,5;46.221,25;565,75
08.11.2020;17:00;18:00;55.906,75;50.178,25;2.604,
08.11.2020;18:00;19:00;56.770,75;50.059,25;2.941,75
08.11.2020;19:00;20:00;54.723;47.751,75;2.868,75,
08.11.2020;20:00;21:00;51.937,5;45.227,25;1.922,25
08.11.2020;21:00;22:00;49.818,25;43.613,75;640,
08.11.2020;22:00;23:00;49.119;43.574,75;450,25,
08.11.2020;23:00;00:00;46.455,5;41.333,25;1.106,
09.11.2020;00:00;01:00;44.319,25;39.689,75;1.971,25
09.11.2020;01:00;02:00;42.577,25;38.288,75;2.090,25
09.11.2020;02:00;03:00;42.302,5;38.203,75;2.773,75
09.11.2020;03:00;04:00;42.645,25;38.668,5;2.596,5
09.11.2020;04:00;05:00;44.832;40.970,25;2.170,75,
