year,half,month,index
2015,0,1,95.9
2015,0,2,95.5
2015,0,3,107.4
2015,0,4,102.4
2015,0,5,97.3
2015,0,6,105
2015,1,7,106.1
2015,1,8,96.7
2015,1,9,102.6
2015,1,10,103.5
2015,1,11,100.6
2015,1,12,87
2016,0,1,95
2016,0,2,100.1
2016,0,3,105.5
2016,0,4,103.5
2016,0,5,101.1
2016,0,6,105.1
2016,1,7,99.7
2016,1,8,100.8
2016,1,9,102.7
2016,1,10,99.2
2016,1,11,100.8
2016,1,12,89.2
2017,0,1,98.2
2017,0,2,96
2017,0,3,110.7
2017,0,4,99
2017,0,5,105.2
2017,0,6,102.6
2017,1,7,103.2
2017,1,8,103.8
2017,1,9,103.2
2017,1,10,102.4
2017,1,11,106.4
2017,1,12,90.5
2018,0,1,102.8
2018,0,2,96.9
2018,0,3,104.9
2018,0,4,102.5
2018,0,5,104.3
2018,0,6,106.2
2018,1,7,105.4
2018,1,8,101.1
2018,1,9,97.1
2018,1,10,103
2018,1,11,100.8
2018,1,12,83.4
2019,0,1,100.7
2019,0,2,97
2019,0,3,103.2
2019,0,4,99.7
2019,0,5,102.5
2019,0,6,94.3
2019,1,7,102.8
2019,1,8,95.5
2019,1,9,95.3
2019,1,10,100.9
2019,1,11,95.3
2019,1,12,80.6
2020,0,1,97.6
2020,0,2,97.6
2020,0,3,103.5
2020,0,4,86.8
2020,0,5,84.1
2020,0,6,87.3
2020,1,7,94.4
2020,1,8,88.4
2020,1,9,94.7
2020,1,10,100.5
2020,1,11,98.6
2020,1,12,87.9
2021,0,1,94.7
2021,0,2,93.4
2021,0,3,110
2021,0,4,100.5
2021,0,5,100.8
2021,0,6,102.4
2021,1,7,100.6
2021,1,8,95.7
2021,1,9,99.9
2021,1,10,100.5
2021,1,11,101.3
2021,1,12,90.3
2022,0,1,96.5
2022,0,2,95.6
2022,0,3,106.4
2022,0,4,95
2022,0,5,97.9
2022,0,6,95.3
2022,1,7,92.6
2022,1,8,89.3
2022,1,9,90.5
2022,1,10,85.3
2022,1,11,87.9
2022,1,12,72.7
2023,0,1,85.3
2023,0,2,83.1
2023,0,3,93.2
2023,0,4,80.5
2023,0,5,83.5
2023,0,6,85.7
2023,1,7,82.1
2023,1,8,81.6
2023,1,9,80.2
2023,1,10,81.2
,,,
,,,
