STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       1270;2022062706;    9;   19.5;  80.0;eor
       1270;2022062712;    9;   23.2;  63.0;eor
       1270;2022062718;    9;   22.1;  65.0;eor
       1270;2022062806;    9;   14.2;  81.0;eor
       1270;2022062812;    9;   22.1;  33.0;eor
       1270;2022062818;    9;   22.3;  37.0;eor
       1270;2022062906;    9;   15.3;  71.0;eor
       1270;2022062912;    9;   19.6;  81.0;eor
       1270;2022062918;    9;   21.8;  72.0;eor
       1270;2022063006;    9;   18.2;  94.0;eor
       1270;2022063012;    9;   25.0;  60.0;eor
       1270;2022063018;    9;   26.8;  56.0;eor
       1270;2022070106;    9;   16.0;  80.0;eor
       1270;2022070112;    9;   14.2;  91.0;eor
       1270;2022070118;    9;   17.6;  63.0;eor
       1270;2022070206;    9;   15.5;  78.0;eor
       1270;2022070212;    9;   23.6;  35.0;eor
       1270;2022070218;    9;   25.0;  34.0;eor
       1270;2022070306;    9;   19.5;  59.0;eor
       1270;2022070312;    9;   28.3;  30.0;eor
       1270;2022070318;    9;   27.4;  31.0;eor
       1270;2022070406;    9;   16.0;  75.0;eor
       1270;2022070412;    9;   23.1;  41.0;eor
       1270;2022070418;    9;   23.0;  35.0;eor
       1270;2022070506;    9;   14.0;  73.0;eor
       1270;2022070512;    9;   23.1;  36.0;eor
       1270;2022070518;    9;   21.6;  43.0;eor
       1270;2022070606;    9;   15.4;  72.0;eor
       1270;2022070612;    9;   19.2;  41.0;eor
       1270;2022070618;    9;   17.7;  42.0;eor
       1270;2022070706;    9;   12.8;  90.0;eor
       1270;2022070712;    9;   17.1;  78.0;eor
       1270;2022070718;    9;   15.5;  85.0;eor
       1270;2022070806;    9;   12.4;  76.0;eor
       1270;2022070812;    9;   17.9;  50.0;eor
       1270;2022070818;    9;   18.5;  64.0;eor
       1270;2022070906;    9;   15.5;  84.0;eor
       1270;2022070912;    9;   19.8;  61.0;eor
       1270;2022070918;    9;   19.6;  52.0;eor
       1270;2022071006;    9;   12.1;  70.0;eor
       1270;2022071012;    9;   16.7;  46.0;eor
       1270;2022071018;    9;   15.4;  68.0;eor
       1270;2022071106;    9;   14.0;  87.0;eor
       1270;2022071112;    9;   17.3;  64.0;eor
       1270;2022071118;    9;   17.5;  69.0;eor
       1270;2022071206;    9;   14.9;  92.0;eor
       1270;2022071212;    9;   24.0;  39.0;eor
       1270;2022071218;    9;   25.3;  35.0;eor
       1270;2022071306;    9;   17.7;  63.0;eor
       1270;2022071312;    9;   28.5;  30.0;eor
       1270;2022071318;    9;   26.0;  39.0;eor
       1270;2022071406;    9;   17.6;  73.0;eor
       1270;2022071412;    9;   21.4;  60.0;eor
       1270;2022071418;    9;   21.0;  39.0;eor
       1270;2022071506;    9;   12.7;  78.0;eor
       1270;2022071512;    9;   17.9;  43.0;eor
       1270;2022071518;    9;   18.6;  38.0;eor
       1270;2022071606;    9;   12.3;  71.0;eor
       1270;2022071612;    9;   20.5;  43.0;eor
